date,lat,lon,datetime,NO2,CO,TEMP,WIND_U,WIND_V
2024-01-01,28.487785975364858,77.54699195706678,2024-01-01 00:00:00,0.00019233492744923235,0.05180198891229855,,,
2024-01-02,28.487785975364858,77.54699195706678,2024-01-02 00:00:00,0.00023116900206821093,0.046061249194148286,,,
2024-01-03,28.487785975364858,77.54699195706678,2024-01-03 00:00:00,0.00015970017072444446,0.04552803701968538,,,
2024-01-04,28.487785975364858,77.54699195706678,2024-01-04 00:00:00,,,,,
2024-01-05,28.487785975364858,77.54699195706678,2024-01-05 00:00:00,,,,,
2024-01-06,28.487785975364858,77.54699195706678,2024-01-06 00:00:00,,0.03996724620302872,,,
2024-01-06,28.487785975364858,77.54699195706678,2024-01-06 00:00:00,,0.04909217268958967,,,
2024-01-07,28.487785975364858,77.54699195706678,2024-01-07 00:00:00,0.00019115428800400695,0.04739672700587464,,,
2024-01-08,28.487785975364858,77.54699195706678,2024-01-08 00:00:00,0.00021702657936963302,0.04227137633302213,,,
2024-01-09,28.487785975364858,77.54699195706678,2024-01-09 00:00:00,0.00021921694801194222,0.050421064786410195,,,
2024-01-10,28.487785975364858,77.54699195706678,2024-01-10 00:00:00,0.0002681708961641908,0.04444752562933541,,,
2024-01-11,28.487785975364858,77.54699195706678,2024-01-11 00:00:00,0.00020501808857892708,0.051426470083185356,,,
2024-01-12,28.487785975364858,77.54699195706678,2024-01-12 00:00:00,0.00031687710902604885,0.0480747248510312,,,
2024-01-13,28.487785975364858,77.54699195706678,2024-01-13 00:00:00,,,,,
2024-01-14,28.487785975364858,77.54699195706678,2024-01-14 00:00:00,0.0002977357433453476,0.05438633802660118,,,
2024-01-15,28.487785975364858,77.54699195706678,2024-01-15 00:00:00,0.0004561407771102344,0.05367409580804764,,,
2024-01-16,28.487785975364858,77.54699195706678,2024-01-16 00:00:00,,0.04113571604048101,,,
2024-01-17,28.487785975364858,77.54699195706678,2024-01-17 00:00:00,0.00010592072528540587,,,,
2024-01-17,28.487785975364858,77.54699195706678,2024-01-17 00:00:00,9.975457566789499e-05,0.04504461577480088,,,
2024-01-18,28.487785975364858,77.54699195706678,2024-01-18 00:00:00,0.00017242988359925885,0.04351032143803778,,,
2024-01-19,28.487785975364858,77.54699195706678,2024-01-19 00:00:00,,0.04050591202802587,,,
2024-01-20,28.487785975364858,77.54699195706678,2024-01-20 00:00:00,0.00017992576124203718,0.044359685322410594,,,
2024-01-21,28.487785975364858,77.54699195706678,2024-01-21 00:00:00,0.00022251073191294159,0.053353081169389645,,,
2024-01-22,28.487785975364858,77.54699195706678,2024-01-22 00:00:00,0.00023223107424339814,0.04879401305343844,,,
2024-01-22,28.487785975364858,77.54699195706678,2024-01-22 00:00:00,0.00023778959885941355,,,,
2024-01-23,28.487785975364858,77.54699195706678,2024-01-23 00:00:00,0.00011860985908692168,0.047691525166528824,,,
2024-01-24,28.487785975364858,77.54699195706678,2024-01-24 00:00:00,0.00023108691289960156,0.06021501561190341,,,
2024-01-25,28.487785975364858,77.54699195706678,2024-01-25 00:00:00,0.00038370760661457406,0.0513020575568043,,,
2024-01-26,28.487785975364858,77.54699195706678,2024-01-26 00:00:00,9.594139212497802e-05,0.05027257634994699,,,
2024-01-27,28.487785975364858,77.54699195706678,2024-01-27 00:00:00,0.0001262964123913441,0.04251541681945962,,,
2024-01-28,28.487785975364858,77.54699195706678,2024-01-28 00:00:00,,,,,
2024-01-29,28.487785975364858,77.54699195706678,2024-01-29 00:00:00,6.618479497447946e-05,0.056612007698614505,,,
2024-01-30,28.487785975364858,77.54699195706678,2024-01-30 00:00:00,0.0005150169984387515,0.05674905428900511,,,
2024-01-31,28.487785975364858,77.54699195706678,2024-01-31 00:00:00,,,,,
2024-01-01,28.487785975364858,77.72665501389065,2024-01-01 00:00:00,0.00019262508919680918,0.05062042667597478,,,
2024-01-02,28.487785975364858,77.72665501389065,2024-01-02 00:00:00,0.00029009045489779907,0.04084935660475376,,,
2024-01-03,28.487785975364858,77.72665501389065,2024-01-03 00:00:00,,0.041491912087051525,,,
2024-01-04,28.487785975364858,77.72665501389065,2024-01-04 00:00:00,,,,,
2024-01-05,28.487785975364858,77.72665501389065,2024-01-05 00:00:00,,,,,
2024-01-06,28.487785975364858,77.72665501389065,2024-01-06 00:00:00,,0.039967245769245006,,,
2024-01-07,28.487785975364858,77.72665501389065,2024-01-07 00:00:00,0.00011936333519382963,0.04552735841439507,,,
2024-01-08,28.487785975364858,77.72665501389065,2024-01-08 00:00:00,0.00013761583288803196,0.039260241880614895,,,
2024-01-09,28.487785975364858,77.72665501389065,2024-01-09 00:00:00,0.0001986884230687937,0.05093047876444598,,,
